MOF,Uptake
GaFFIVE_16_Ni_i,0.0008532034
GaFFIVE_16_Zn_i,0.0868116048
GaFFIVE_16_Zn_i,0.0214292219
GaFFIVE_16_Zn_i,0.0008659879
GaFFIVE_18_Cd,0.1452686678
GaFFIVE_18_Cd,0.0369628055
GaFFIVE_18_Cd,0.0014543768
GaFFIVE_18_Co,0.1345100644
GaFFIVE_18_Co,0.0337441146
GaFFIVE_18_Co,0.0014185002
GaFFIVE_18_Cu,0.1509823068
GaFFIVE_18_Cu,0.038582511
GaFFIVE_18_Cu,0.0015282553
GaFFIVE_18_Fe,0.1164996765
GaFFIVE_18_Fe,0.0298491413
GaFFIVE_18_Fe,0.0012325415
GaFFIVE_18_Ni,0.1380329413
GaFFIVE_18_Ni,0.03626527
GaFFIVE_18_Ni,0.0015396198
GaFFIVE_18_Zn,0.123100562
GaFFIVE_18_Zn,0.0312509216
GaFFIVE_18_Zn,0.0012660191
GaFFIVE_1_Cd,0.1268708198
GaFFIVE_1_Cd,0.0316254314
GaFFIVE_1_Cd,0.0012366776
GaFFIVE_1_Co,0.1506782891
GaFFIVE_1_Co,0.0367031474
GaFFIVE_1_Co,0.0014405971
GaFFIVE_1_Cu,0.148456514
GaFFIVE_1_Cu,0.0373462996
GaFFIVE_1_Cu,0.0014884395
GaFFIVE_1_Fe,0.139941389
GaFFIVE_1_Fe,0.0342503141
GaFFIVE_1_Fe,0.0012846948
GaFFIVE_1_Ni,0.123734438
GaFFIVE_1_Ni,0.029645244
GaFFIVE_1_Ni,0.0012125107
GaFFIVE_1_Zn,0.1249025696
GaFFIVE_1_Zn,0.0310991505
GaFFIVE_1_Zn,0.0011663766
GaFFIVE_2_Cd,0.0671220218
GaFFIVE_2_Cd,0.0168668097
GaFFIVE_2_Cd,0.0006555634
GaFFIVE_2_Cd_i,3.9278090506
GaFFIVE_2_Cd_i,1.5106639359
GaFFIVE_2_Cd_i,0.0664908677
GaFFIVE_2_Co,0.0676104253
GaFFIVE_2_Co,0.0171957041
GaFFIVE_2_Co,0.0006870669
GaFFIVE_2_Co_i,3.6523237796
GaFFIVE_2_Co_i,1.7124903872
GaFFIVE_2_Co_i,0.0972428011
GaFFIVE_2_Cu,0.0684059924
GaFFIVE_2_Cu,0.0179635126
GaFFIVE_2_Cu,0.0006911222
GaFFIVE_2_Cu_i,4.0471569096
GaFFIVE_2_Cu_i,1.8373389578
GaFFIVE_2_Cu_i,0.0991854789
GaFFIVE_2_Fe,0.0567366596
GaFFIVE_2_Fe,0.0141224593
GaFFIVE_2_Fe,0.0005663525
GaFFIVE_2_Fe_i,3.6713141929
GaFFIVE_2_Fe_i,1.4374983605
GaFFIVE_2_Fe_i,0.0675566714
GaFFIVE_2_Ni,0.0610541308
GaFFIVE_2_Ni,0.0148912979
GaFFIVE_2_Ni,0.0006664051
GaFFIVE_2_Ni_i,3.7364743444
GaFFIVE_2_Ni_i,1.6046520609
GaFFIVE_2_Ni_i,0.0812090769
GaFFIVE_2_Zn,0.0620894226
GaFFIVE_2_Zn,0.0153656497
GaFFIVE_2_Zn,0.0006682354
GaFFIVE_2_Zn_i,4.0210595256
GaFFIVE_2_Zn_i,1.6943278252
GaFFIVE_2_Zn_i,0.0816103672
GaFFIVE_3_Cd,1.504135594
GaFFIVE_3_Cd,0.7079341668
GaFFIVE_3_Cd,0.0406332706
GaFFIVE_3_Co,2.4183012025
GaFFIVE_3_Co,1.9902559307
GaFFIVE_3_Co,0.2904393075
GaFFIVE_3_Cu,2.5395617134
GaFFIVE_3_Cu,2.4564225327
GaFFIVE_3_Cu,1.2118597407
GaFFIVE_3_Fe,2.3395027739
GaFFIVE_3_Fe,1.7380084192
GaFFIVE_3_Fe,0.1885208165
GaFFIVE_3_Ni,2.5307693659
GaFFIVE_3_Ni,2.3417147261
GaFFIVE_3_Ni,0.6630486244
GaFFIVE_3_Zn,2.3648837804
GaFFIVE_3_Zn,1.9250291504
GaFFIVE_3_Zn,0.2692033203
GaFFIVE_4_Cd_i,1.3246703627
GaFFIVE_4_Cd_i,0.3911261412
GaFFIVE_4_Cd_i,0.0171872521
GaFFIVE_4_Co_i,1.2229884055
GaFFIVE_4_Co_i,0.3469240638
GaFFIVE_4_Co_i,0.0152858092
GaFFIVE_4_Cu_i,1.3351818225
GaFFIVE_4_Cu_i,0.4024954413
GaFFIVE_4_Cu_i,0.0165398233
GaFFIVE_4_Fe_i,0.3678885937
GaFFIVE_4_Fe_i,0.0958984281
GaFFIVE_4_Fe_i,0.0038587142
GaFFIVE_4_Ni_i,1.1651413047
GaFFIVE_4_Ni_i,0.3282838578
GaFFIVE_4_Ni_i,0.0143382849
GaFFIVE_4_Zn_i,1.2296523135
GaFFIVE_4_Zn_i,0.3647702307
GaFFIVE_4_Zn_i,0.0159868768
GaFFIVE_5_Cd_i,0.3471923412
GaFFIVE_5_Cd_i,0.0902557686
GaFFIVE_5_Cd_i,0.0037242967
GaFFIVE_5_Co_i,0.8364753813
GaFFIVE_5_Co_i,0.2203051664
GaFFIVE_5_Co_i,0.0093928773
GaFFIVE_5_Cu_i,0.7781079893
GaFFIVE_5_Cu_i,0.2046117693
GaFFIVE_5_Cu_i,0.0084118568
GaFFIVE_5_Fe_i,0.758489457
GaFFIVE_5_Fe_i,0.1981343121
GaFFIVE_5_Fe_i,0.0081506907
GaFFIVE_5_Ni_i,0.7187595294
GaFFIVE_5_Ni_i,0.1915909161
GaFFIVE_5_Ni_i,0.007915736
GaFFIVE_5_Zn_i,0.6737823816
GaFFIVE_5_Zn_i,0.1788080533
GaFFIVE_5_Zn_i,0.007208595
GaFFIVE_6_Cd_i,0.8573105867
GaFFIVE_6_Cd_i,0.2244796701
GaFFIVE_6_Cd_i,0.0095104375
GaFFIVE_6_Co_i,1.2348230252
GaFFIVE_6_Co_i,0.3259201727
GaFFIVE_6_Co_i,0.0132578594
GaFFIVE_6_Cu_i,1.1634047075
GaFFIVE_6_Cu_i,0.3051052858
GaFFIVE_6_Cu_i,0.0127262049
GaFFIVE_6_Fe_i,1.0307539508
GaFFIVE_6_Fe_i,0.2676310412
GaFFIVE_6_Fe_i,0.0112565668
GaFFIVE_6_Ni_i,1.2041029614
GaFFIVE_6_Ni_i,0.3233997169
GaFFIVE_6_Ni_i,0.012935683
GaFFIVE_6_Zn_i,1.1762072286
GaFFIVE_6_Zn_i,0.3102849111
GaFFIVE_6_Zn_i,0.0123723253
GaFFIVE_7_Cd,0.0973143546
GaFFIVE_7_Cd,0.0232578674
GaFFIVE_7_Cd,0.0008965991
GaFFIVE_7_Co,0.1043586548
GaFFIVE_7_Co,0.0264435997
GaFFIVE_7_Co,0.001057555
GaFFIVE_7_Cu,0.1094228676
GaFFIVE_7_Cu,0.0265724773
GaFFIVE_7_Cu,0.0010774527
GaFFIVE_7_Fe,0.0806770243
GaFFIVE_7_Fe,0.0208884669
GaFFIVE_7_Fe,0.0008018678
GaFFIVE_7_Ni,0.0891564113
GaFFIVE_7_Ni,0.0219851326
GaFFIVE_7_Ni,0.0008566004
GaFFIVE_7_Zn,0.089584832
GaFFIVE_7_Zn,0.0222901091
GaFFIVE_7_Zn,0.000861878
GAGSUF,0.0352470615
GAGSUF,0.6170774568
GAGSUF,1.4731877033
GAJYUN,1.9522591043
GAJYUN,3.6512500006
GAJYUN,4.0444578692
GAJZAU,1.5798885803
GAJZAU,3.6256750729
GAJZAU,4.1605338238
GAJZEY,1.5369948292
GAJZEY,3.5598886788
GAJZEY,4.1410437434
GAJZIC,1.7881729162
GAJZIC,3.6518068799
GAJZIC,4.1673388722
GAJZOI,1.5302073817
GAJZOI,3.4944712416
GAJZOI,4.0155724647
GAJZUO,0.2215997838
GAJZUO,2.7351809801
GAJZUO,3.6292568202
GAKBAX,0.0219242308
GAKBAX,0.5488902218
GAKBAX,1.6599379262
GAMTAQ,1.9046852505
GAMTAQ,4.2198785327
GAMTAQ,5.2717576058
GAMTEU,2.1599898239
GAMTEU,4.226520815
GAMTEU,5.3444740715
GAMTIY,2.2611512339
GAMTIY,4.2701023387
GAMTIY,5.3355775908
GAMTOE,0.1248578898
GAMTOE,0.957237247
GAMTOE,1.1993077201
GAMTUK,0.3215143266
GAMTUK,1.14342956
GAMTUK,1.2548318851
GAMVAS,0.3286109686
GAMVAS,1.1450946678
GAMVAS,1.2438948474
GARLAP,0.0415109085
GARLAP,0.8446898182
GARLAP,2.3762713093
GARLET,0.0721484501
GARLET,1.1373565936
GARLET,2.6646587906
GARLIX,0.0597730124
GARLIX,1.1159845197
GARLIX,2.5946728565
GARLOD,0.0735027305
GARLOD,1.2601319029
GARLOD,2.7303706895
GARLUJ,0.01476271
GARLUJ,0.3552345043
GARLUJ,1.3541747841
GARMAQ,0.0625912948
GARMAQ,1.0601403445
GARMAQ,2.5861684529
GARSUQ,0.0228983416
GARSUQ,0.4630785777
GARSUQ,1.3080428604
GARTAX,1.6278804644
GARTAX,2.387429815
GARTAX,2.821409928
GARTEB,1.2240134525
GARTEB,2.3095750371
GARTEB,2.7047125088
GARTIF,1.2967996154
GARTIF,2.3942313128
GARTIF,2.9451408766
GASSEB,0.0057814927
GASSEB,0.1481749591
GASSEB,0.5644074035
GASSUR,0.0034410675
GASSUR,0.0892508278
GASSUR,0.3555725352
GATHAL,0.0018927761
GATHAL,0.0464043222
GATHAL,0.1833398749
GAWBEM,0.0007160297
GAWBEM,0.0151347901
GAWBEM,0.0597389888
GAWJEV,0.3021883117
GAWJEV,1.0110886182
GAWJEV,1.6093210701
GAWMOI,0.0500530125
GAWMOI,0.8490663327
GAWMOI,1.5867025945
GAXQIH,0.0044532651
GAXQIH,0.1098614932
GAXQIH,0.4136200355
GAXVUY,0.0558127263
GAXVUY,1.1946033746
GAXVUY,3.2420176182
GAXWAF,0.0521552034
GAXWAF,1.1141233985
GAXWAF,3.1055707957
GAXWEJ,0.0675565044
GAXWEJ,0.8923167983
GAXWEJ,1.6055981199
GAYFUJ,0.0056250574
GAYFUJ,0.1443686626
GAYFUJ,0.5670047879
GAYGAQ,0.018178656
GAYGAQ,0.4198237176
GAYGAQ,1.3187843202
GEDLIM,0.0110954223
GEDLIM,0.2377223057
GEDLIM,0.7175882344
GEDQIR,0.1114361757
GEDQIR,1.5083647787
GEDQIR,2.9377382565
GEDQOX,0.1437567719
GEDQOX,1.6395979307
GEDQOX,3.0267248199
GEDRAK,0.371355277
GEDRAK,2.6017843109
GEDRAK,4.3434468399
GEDREO,0.1223144375
GEDREO,1.3888369573
GEDREO,2.3242772328
GEDROY,0.5799577407
GEDROY,3.3616796977
GEDROY,5.0750227406
GEDRUE,0.2679019667
GEDRUE,2.2332097685
GEDRUE,3.7532862811
GEDSAL,0.4334255823
GEDSAL,2.6945776716
GEDSAL,4.3874109187
GEDSEP,0.2284973631
GEDSEP,1.9546153742
GEDSEP,2.9860793464
GEDSOZ,0.1397757806
GEDSOZ,1.9047494684
GEDSOZ,3.6695622051
GEDSUF,0.0643840625
GEDSUF,1.0350767971
GEDSUF,2.1648885071
GEDTAM,0.1905670353
GEDTAM,1.9061348697
GEDTAM,3.2957952095
GeFSIX_13_Cd_i,1.5402931215
GeFSIX_13_Cd_i,0.442844267
GeFSIX_13_Cd_i,0.0193315499
GeFSIX_13_Co_i,2.2119103651
GeFSIX_13_Co_i,0.8241610926
GeFSIX_13_Co_i,0.0393254516
GeFSIX_13_Cu_i,2.2814680669
GeFSIX_13_Cu_i,0.8008754489
GeFSIX_13_Cu_i,0.0383198889
GeFSIX_13_Fe_i,1.6954877655
GeFSIX_13_Fe_i,0.5407254362
GeFSIX_13_Fe_i,0.0245547905
GeFSIX_13_Ni_i,2.1155946969
GeFSIX_13_Ni_i,0.7552773621
GeFSIX_13_Ni_i,0.0351002979
GeFSIX_13_Zn_i,1.9839547163
GeFSIX_13_Zn_i,0.6605846538
GeFSIX_13_Zn_i,0.0297895821
GeFSIX_14_Cd_i,1.7867528149
GeFSIX_14_Cd_i,0.8471128958
GeFSIX_14_Cd_i,0.0528767479
GeFSIX_14_Co_i,0.5826898856
GeFSIX_14_Co_i,0.2103930491
GeFSIX_14_Co_i,0.009824432
GeFSIX_14_Cu_i,0.9859560051
GeFSIX_14_Cu_i,0.4232362851
GeFSIX_14_Cu_i,0.0238939649
GeFSIX_14_Fe_i,0.7869386713
GeFSIX_14_Fe_i,0.2963761323
GeFSIX_14_Fe_i,0.0138712374
GeFSIX_14_Ni_i,0.7960444175
GeFSIX_14_Ni_i,0.3057100772
GeFSIX_14_Ni_i,0.0147966003
GeFSIX_14_Zn_i,1.0746595665
GeFSIX_14_Zn_i,0.4237844393
GeFSIX_14_Zn_i,0.0216133101
GeFSIX_15_Cd_i,1.12933326
GeFSIX_15_Cd_i,0.4077131181
GeFSIX_15_Cd_i,0.0183690205
GeFSIX_15_Co_i,0.9310153951
GeFSIX_15_Co_i,0.3342208375
GeFSIX_15_Co_i,0.0171774373
GeFSIX_15_Cu_i,0.9937561912
GeFSIX_15_Cu_i,0.3338385124
GeFSIX_15_Cu_i,0.0176681101
GeFSIX_15_Fe_i,0.9352503857
GeFSIX_15_Fe_i,0.3322317084
GeFSIX_15_Fe_i,0.0165707853
GeFSIX_15_Ni_i,0.9401926721
GeFSIX_15_Ni_i,0.3275570372
GeFSIX_15_Ni_i,0.0173679861
GeFSIX_15_Zn_i,1.0227251134
GeFSIX_15_Zn_i,0.3678233644
GeFSIX_15_Zn_i,0.0177961052
GeFSIX_16_Cd_i,0.0757484319
GeFSIX_16_Cd_i,0.0191800516
GeFSIX_16_Cd_i,0.0007871979
GeFSIX_16_Co_i,0.0857173577
GeFSIX_16_Co_i,0.0215489657
GeFSIX_16_Co_i,0.0008729091
GeFSIX_16_Cu_i,0.0856875027
GeFSIX_16_Cu_i,0.0217654696
GeFSIX_16_Cu_i,0.0008514087
GeFSIX_16_Fe_i,0.0839545222
GeFSIX_16_Fe_i,0.0211275549
GeFSIX_16_Fe_i,0.000808816
GeFSIX_16_Ni_i,0.0874787005
GeFSIX_16_Ni_i,0.0218937514
GeFSIX_16_Ni_i,0.0008934331
GeFSIX_16_Zn_i,0.0851642229
GeFSIX_16_Zn_i,0.021401381
GeFSIX_16_Zn_i,0.0008612863
GeFSIX_18_Cd,0.0497435333
GeFSIX_18_Cd,0.0128723915
GeFSIX_18_Cd,0.0005160406
GeFSIX_18_Co,0.0497287659
GeFSIX_18_Co,0.0127659654
GeFSIX_18_Co,0.0005157517
GeFSIX_18_Cu,0.0550583579
GeFSIX_18_Cu,0.0142040888
GeFSIX_18_Cu,0.0005965735
GeFSIX_18_Fe,0.0445255273
GeFSIX_18_Fe,0.0112743406
GeFSIX_18_Fe,0.0004478334
GeFSIX_18_Ni,0.0454621646
GeFSIX_18_Ni,0.0116093073
GeFSIX_18_Ni,0.0005372624
GeFSIX_18_Zn,0.0476863269
GeFSIX_18_Zn,0.0121827473
GeFSIX_18_Zn,0.0005113485
GeFSIX_1_Cd,0.1176822373
GeFSIX_1_Cd,0.0288665735
GeFSIX_1_Cd,0.0012189222
GeFSIX_1_Co,0.1511417552
GeFSIX_1_Co,0.0367334386
GeFSIX_1_Co,0.0015901873
GeFSIX_1_Cu,0.1539387002
GeFSIX_1_Cu,0.0373924008
GeFSIX_1_Cu,0.0015137904
GeFSIX_1_Fe,0.1108014903
GeFSIX_1_Fe,0.0270417119
GeFSIX_1_Fe,0.0011291326
GeFSIX_1_Ni,0.1209970403
GeFSIX_1_Ni,0.0300886594
GeFSIX_1_Ni,0.0012466871
GeFSIX_1_Zn,0.1255144837
GeFSIX_1_Zn,0.0310864447
GeFSIX_1_Zn,0.001282806
GeFSIX_2_Cd,0.0594664092
GeFSIX_2_Cd,0.0154312635
GeFSIX_2_Cd,0.0006017434
GeFSIX_2_Cd_i,4.324401319
GeFSIX_2_Cd_i,1.8796189127
GeFSIX_2_Cd_i,0.0809909569
GeFSIX_2_Co,0.0634160867
GeFSIX_2_Co,0.0162378641
GeFSIX_2_Co,0.0005704898
GeFSIX_2_Co_i,2.3944594314
GeFSIX_2_Co_i,1.1475494092
GeFSIX_2_Co_i,0.0710874319
GeFSIX_2_Cu,0.0636249432
GeFSIX_2_Cu,0.0156272429
GeFSIX_2_Cu,0.000659024
GeFSIX_2_Cu_i,2.8722231648
GeFSIX_2_Cu_i,1.3112838823
GeFSIX_2_Cu_i,0.0772651013
GeFSIX_2_Fe,0.0540206822
GeFSIX_2_Fe,0.0133581297
GeFSIX_2_Fe,0.0005881633
GeFSIX_2_Fe_i,3.4954381199
GeFSIX_2_Fe_i,1.4108167034
GeFSIX_2_Fe_i,0.071967961
GeFSIX_2_Ni,0.0568054893
GeFSIX_2_Ni,0.0141210867
GeFSIX_2_Ni,0.0005817264
GeFSIX_2_Ni_i,3.0724199917
GeFSIX_2_Ni_i,1.3227035686
GeFSIX_2_Ni_i,0.0753216381
GeFSIX_2_Zn,0.0588449279
GeFSIX_2_Zn,0.014737549
GeFSIX_2_Zn,0.0005644554
GeFSIX_2_Zn_i,3.6381064522
GeFSIX_2_Zn_i,1.5376046078
GeFSIX_2_Zn_i,0.0814231434
GeFSIX_3_Cd,2.0733911751
GeFSIX_3_Cd,1.8114985318
GeFSIX_3_Cd,0.351541245
GeFSIX_3_Co,2.4207211441
GeFSIX_3_Co,2.320274928
GeFSIX_3_Co,1.0335770258
GeFSIX_3_Cu,2.4167609291
GeFSIX_3_Cu,2.4055121471
GeFSIX_3_Cu,2.1930446331
GeFSIX_3_Fe,2.4104910022
GeFSIX_3_Fe,2.2478957535
GeFSIX_3_Fe,0.704982842
GeFSIX_3_Ni,2.4393030695
GeFSIX_3_Ni,2.3926765156
GeFSIX_3_Ni,1.57366658
GeFSIX_3_Zn,2.3941790069
GeFSIX_3_Zn,2.322656825
GeFSIX_3_Zn,1.2119887504
GeFSIX_4_Cd_i,2.3337114349
GeFSIX_4_Cd_i,1.0502616529
GeFSIX_4_Cd_i,0.0564870175
GeFSIX_4_Co_i,2.2685645632
GeFSIX_4_Co_i,1.0258903057
GeFSIX_4_Co_i,0.0569664293
GeFSIX_4_Cu_i,2.3859067518
GeFSIX_4_Cu_i,1.1866511689
GeFSIX_4_Cu_i,0.066558966
GeFSIX_4_Fe_i,2.0534033303
GeFSIX_4_Fe_i,0.7929644852
GeFSIX_4_Fe_i,0.0373423691
GeFSIX_4_Ni_i,2.2671625462
GeFSIX_4_Ni_i,1.0341632756
GeFSIX_4_Ni_i,0.0593683878
GeFSIX_4_Zn_i,2.2914285854
GeFSIX_4_Zn_i,1.0645590627
GeFSIX_4_Zn_i,0.0606005848
GeFSIX_5_Cd_i,0.5165932415
GeFSIX_5_Cd_i,0.1376462491
GeFSIX_5_Cd_i,0.005496948
GeFSIX_5_Co_i,0.9558871071
GeFSIX_5_Co_i,0.2458202462
GeFSIX_5_Co_i,0.010483546
GeFSIX_5_Cu_i,0.8886298193
GeFSIX_5_Cu_i,0.2287710991
GeFSIX_5_Cu_i,0.0096086255
GeFSIX_5_Fe_i,0.9174631869
GeFSIX_5_Fe_i,0.2307961867
GeFSIX_5_Fe_i,0.0100252645
GeFSIX_5_Ni_i,0.8579712824
GeFSIX_5_Ni_i,0.2208186314
GeFSIX_5_Ni_i,0.0092807036
GeFSIX_5_Zn_i,0.7599083157
GeFSIX_5_Zn_i,0.198327336
GeFSIX_5_Zn_i,0.008080206
GeFSIX_6_Cd_i,1.014680851
GeFSIX_6_Cd_i,0.2629966035
GeFSIX_6_Cd_i,0.0105882502
GeFSIX_6_Co_i,1.511455633
GeFSIX_6_Co_i,0.3945179954
GeFSIX_6_Co_i,0.0162468999
GeFSIX_6_Cu_i,1.3542926021
GeFSIX_6_Cu_i,0.3444100306
GeFSIX_6_Cu_i,0.0140652438
GeFSIX_6_Fe_i,1.2950952955
GeFSIX_6_Fe_i,0.3281261286
GeFSIX_6_Fe_i,0.0130138731
GeFSIX_6_Ni_i,1.503531373
GeFSIX_6_Ni_i,0.3785707322
GeFSIX_6_Ni_i,0.0153836284
GeFSIX_6_Zn_i,1.4702018414
GeFSIX_6_Zn_i,0.3760405066
GeFSIX_6_Zn_i,0.0156262903
GeFSIX_7_Cd,0.0874000492
GeFSIX_7_Cd,0.0217404889
GeFSIX_7_Cd,0.000880375
GeFSIX_7_Co,0.0876517191
GeFSIX_7_Co,0.0216099818
GeFSIX_7_Co,0.0009083882
GeFSIX_7_Cu,0.0895084035
GeFSIX_7_Cu,0.021616827
GeFSIX_7_Cu,0.0009386432
GeFSIX_7_Fe,0.0785300329
GeFSIX_7_Fe,0.0198628217
GeFSIX_7_Fe,0.0007609961
GeFSIX_7_Ni,0.0754523241
GeFSIX_7_Ni,0.0188339137
GeFSIX_7_Ni,0.0007127775
GeFSIX_7_Zn,0.0754504819
GeFSIX_7_Zn,0.018829714
GeFSIX_7_Zn,0.0007383671
GEGSIW,0.0217771808
GEGSIW,0.4422927171
GEGSIW,1.2789448829
GEGWAS,1.5336352282
GEGWAS,3.344580438
GEGWAS,4.2079070403
GEHSAN,0.2061859769
GEHSAN,3.2951563807
GEHSAN,6.3589385197
GEJJEL01,0.0367640679
GEJJEL01,0.6676292295
GEJJEL01,1.8529161348
GELVEZ01,0.0006606878
GELVEZ01,0.0160557714
GELVEZ01,0.0664206042
GELVEZ02,0.0007930121
GELVEZ02,0.0183999365
GELVEZ02,0.073740788
GELVEZ,0.0024967273
GELVEZ,0.0626423544
GELVEZ,0.249891294
GELVID01,0.0002161744
GELVID01,0.0052806578
GELVID01,0.0204183803
GELVID,0.0006797553
GELVID,0.0180530155
GELVID,0.0738838927
GEPDEM,0.0816518354
GEPDEM,1.0047476924
GEPDEM,1.5784446894
GERWEH,0.0061962908
GERWEH,0.1509198012
GERWEH,0.490885166
GEVKID,0.1768099566
GEVKID,1.3089276454
GEVKID,1.6315656811
GEVXAI,0.5091456696
GEVXAI,2.1740363376
GEVXAI,2.3237182346
GEVXIQ,4.5397402213
GEVXIQ,5.6486384512
GEVXIQ,6.116906256
GEVYEN,0.0005175345
GEVYEN,0.012728137
GEVYEN,0.0576209409
GEWXAJ,0.0249196032
GEWXAJ,0.4656475274
GEWXAJ,1.0030410244
GIDKOU,0.0269972762
GIDKOU,0.5622391549
GIDKOU,1.5297974565
GIFFAE,2.3927703751
GIFFAE,3.9893181761
GIFFAE,4.9994188947
GIFFEI,0.0160815406
GIFFEI,0.4143187945
GIFFEI,1.6617406181
GIFKEL,0.0043793808
GIFKEL,0.1070687053
GIFKEL,0.3868712767
GIGWID01,0.1565004109
GIGWID01,1.7182053684
GIGWID01,1.9506730481
GIKMOD01,0.0010992113
GIKMOD01,0.0275606456
GIKMOD01,0.113127068
GIKMOD02,0.0012011499
GIKMOD02,0.0283162859
GIKMOD02,0.1127932055
GIKMOD03,0.0010776369
GIKMOD03,0.0273400482
GIKMOD03,0.1080997137
GIKMOD04,0.001122943
GIKMOD04,0.0297472022
GIKMOD04,0.1112058754
GIKMOD05,0.0012113977
GIKMOD05,0.0293480774
GIKMOD05,0.1116168661
GIKMOD06,0.0012728845
GIKMOD06,0.0304456706
GIKMOD06,0.1167353718
GIKMOD08,0.0013111789
GIKMOD08,0.02928713
GIKMOD08,0.1185627162
GIKMOD09,0.0012291965
GIKMOD09,0.0285163876
GIKMOD09,0.1177337232
GIKMOD10,0.001196835
GIKMOD10,0.0293987771
GIKMOD10,0.115792035
GIKMOD11,0.0012211061
GIKMOD11,0.0324990058
GIKMOD11,0.1208253222
GIKMOD12,0.0013516307
GIKMOD12,0.0334833339
GIKMOD12,0.1293363887
GIKMOD,0.0019328689
GIKMOD,0.0454711039
GIKMOD,0.1878546297
GIKQIC,0.0219783669
GIKQIC,0.5558430533
GIKQIC,1.5104032489
GIMSIG,0.0026143564
GIMSIG,0.0679207296
GIMSIG,0.2693616576
GIMSUS,0.0481663027
GIMSUS,0.7301694272
GIMSUS,1.3989317294
GIMVAA,0.0002307284
GIMVAA,0.0058608742
GIMVAA,0.0224795372
GINLIA,0.01354574
GINLIA,0.3269459637
GINLIA,1.2434201226
GIQXEK,1.4739975506
GIQXEK,2.4036276364
GIQXEK,2.9275327619
GIQXIO,1.4491257656
GIQXIO,2.480102934
GIQXIO,3.1258427886
GIQXOU,1.4387373005
GIQXOU,2.4221133955
GIQXOU,3.0685414726
GIQXUA,1.436103688
GIQXUA,2.5054323225
GIQXUA,3.1384434567
GIQYAH,1.4596427469
GIQYAH,2.4629745495
GIQYAH,3.0721864368
GIQYEL,1.4407404081
GIQYEL,2.3623724797
GIQYEL,2.8886841198
GIQYIP,1.4028857364
GIQYIP,2.3263857934
GIQYIP,3.2616718723
GIQYOV,0.1464291756
GIQYOV,1.8636804533
GIQYOV,2.7940547453
GIQYUB,1.4725429569
GIQYUB,2.4851456642
GIQYUB,3.0879846845
GIQZIQ,0.1178584008
GIQZIQ,2.0094618912
GIQZIQ,4.2188342561
GIRFUJ,0.7693976075
GIRFUJ,2.5217414791
GIRFUJ,2.7038750608
GIRHEW,0.0164833368
GIRHEW,0.347949022
GIRHEW,1.0364000295
GIRXUC,0.0005589515
GIRXUC,0.0135669028
GIRXUC,0.0542073321
GIRYIR,0.0139547422
GIRYIR,0.2606558061
GIRYIR,0.635126138
GIRYOX,0.0081057724
GIRYOX,0.1742915885
GIRYOX,0.4516299421
GIRZAK,0.0163043256
GIRZAK,0.3439351262
GIRZAK,0.8735234469
GISMIG,0.439741889
GISMIG,0.997294769
GISMIG,1.0453122735
GISZUD,0.0002872699
GISZUD,0.0067211423
GISZUD,0.0268534077
GITPIK,0.0313025182
GITPIK,0.5502563571
GITPIK,1.5026610893
GITTOT01,0.0005493757
GITTOT01,0.0134901099
GITTOT01,0.0535567952
GITTOT,0.0005893675
GITTOT,0.0148378249
GITTOT,0.0592371947
GITWIQ,0.0024670124
GITWIQ,0.061864786
GITWIQ,0.2275244557
GIWNUV,0.026356317
GIWNUV,0.6132042812
GIWNUV,1.9437283946
GIXNAE,0.0044354854
GIXNAE,0.1125084094
GIXNAE,0.433321505
GIYSEN,0.0048687089
GIYSEN,0.1210333504
GIYSEN,0.4433042343
GIYSIR,0.0035359244
GIYSIR,0.0883503508
GIYSIR,0.3176156903
GIYSOX,0.0062784713
GIYSOX,0.1494353698
GIYSOX,0.5171428546
GIYSUD,0.0084135366
GIYSUD,0.1952473242
GIYSUD,0.665550066
GIYTAK,0.0073140275
GIYTAK,0.1800470214
GIYTAK,0.5962293726
GIYTIS,0.0037536284
GIYTIS,0.092496653
GIYTIS,0.3490957281
GOGWAB,0.0097912282
GOGWAB,0.2413758425
GOGWAB,0.9471505472
GOGWEF,0.0301403062
GOGWEF,0.6706065208
GOGWEF,2.3385613521
GOKBUE,0.0025050083
GOKBUE,0.0623306663
GOKBUE,0.2416808045
GOLQII,0.0024890647
GOLQII,0.0650842501
GOLQII,0.2114131752
GONNAA,0.0085824163
GONNAA,0.2105704937
GONNAA,0.8120787365
GONTAG,0.0114224742
GONTAG,0.2672954027
GONTAG,1.0315035147
GOQTIR,0.0324766149
GOQTIR,0.7212316613
GOQTIR,2.1478250021
GOQXAN,0.0026368409
GOQXAN,0.0652580505
GOQXAN,0.2656421586
GOSBOH,0.0014287905
GOSBOH,0.034335071
GOSBOH,0.140896826
GOWHOR,0.1061663317
GOWHOR,1.5728269156
GOWHOR,2.7453666172
GOXGAD,0.0737414918
GOXGAD,0.9599576496
GOXGAD,1.8473017464
GOYXAV,0.0077738165
GOYXAV,0.1741593347
GOYXAV,0.5236335358
GOYXEZ,0.0063475065
GOYXEZ,0.1492497541
GOYXEZ,0.4528357125
GOYXID,0.0067726158
GOYXID,0.1550582426
GOYXID,0.5082635612
GOYXOJ,0.0064637258
GOYXOJ,0.1502520627
GOYXOJ,0.473663549
GOYXUP,0.007403803
GOYXUP,0.1603416882
